,Epochs,Params,Train loss,Test loss
59,59,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.7435]))])",0.7356129229068756,0.5138620660194041
60,60,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.7654]))])",0.7348183105389278,0.5137682108577185
61,61,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.7871]))])",0.7340518124401569,0.5136801940000927
62,62,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.8084]))])",0.7333119325339794,0.5135976271490411
63,63,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.8296]))])",0.732597446690003,0.5135201391181908
64,64,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.8504]))])",0.731907082349062,0.513447406583388
65,65,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.8711]))])",0.7312397892276447,0.5133790859195869
66,66,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.8915]))])",0.7305944040417671,0.5133149432406451
67,67,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.9116]))])",0.7299699972073237,0.5132546532317065
68,68,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.9316]))])",0.7293655502299468,0.513197996133628
69,69,"OrderedDict([('layers.0.weight', tensor([[-0.1631]])), ('layers.0.bias', tensor([-0.6668])), ('layers.2.weight', tensor([[0.3868]])), ('layers.2.bias', tensor([-2.9513]))])",0.7287802420556545,0.513144716535074
